-nan -nan
0.805 0.748
0.817 0.811
0.847 0.844
0.860 0.858
0.883 0.888
0.917 0.919
0.921 0.917
0.946 0.942
0.934 0.938
0.937 0.935
0.914 0.916
0.901 0.902
0.891 0.890
0.871 0.872
0.870 0.870
0.876 0.877
0.850 0.848
0.778 0.783
0.738 0.734
0.772 0.773
0.733 0.731
0.694 0.697
0.669 0.669
0.636 0.637
0.582 0.584
0.547 0.546
0.556 0.556
0.519 0.522
0.529 0.532
0.510 0.513
0.413 0.385
0.402 0.418
0.436 0.439
0.381 0.379
0.359 0.362
0.334 0.335
0.342 0.334
0.332 0.339
0.319 0.320
0.316 0.316
0.306 0.307
0.366 0.363
0.389 0.385
0.462 0.465
0.451 0.454
0.449 0.445
0.431 0.435
0.429 0.425
0.417 0.418
0.401 0.402
0.433 0.430
0.509 0.513
0.584 0.582
0.601 0.603
0.585 0.584
0.586 0.588
0.597 0.595
0.577 0.581
0.564 0.536
0.545 0.565
0.600 0.602
0.570 0.568
0.538 0.542
0.516 0.519
0.511 0.508
0.503 0.505
0.498 0.497
0.483 0.482
0.437 0.438
0.380 0.380
0.372 0.375
0.379 0.380
0.369 0.369
0.362 0.362
0.378 0.377
0.385 0.386
0.378 0.379
0.376 0.364
0.363 0.374
0.346 0.334
0.326 0.332
0.342 0.347
0.343 0.344
0.342 0.337
0.336 0.338
0.348 0.349
0.338 0.340
0.337 0.334
0.338 0.337
0.323 0.327
0.309 0.305
0.291 0.295
0.325 0.323
0.289 0.290
0.266 0.265
0.266 0.266
0.248 0.251
0.258 0.254
