-nan -nan
0.895 0.904
0.830 0.805
0.831 0.841
0.770 0.770
0.736 0.747
0.691 0.684
0.689 0.695
0.613 0.620
0.568 0.562
0.485 0.492
0.644 0.640
0.369 0.374
0.480 0.462
0.851 0.859
0.895 0.901
0.873 0.863
0.854 0.849
0.848 0.854
0.813 0.816
0.865 0.862
0.843 0.844
0.880 0.874
0.820 0.819
0.829 0.831
0.754 0.760
0.724 0.725
0.626 0.643
0.467 0.468
0.391 0.423
0.497 0.490
0.811 0.801
0.863 0.861
0.890 0.896
0.907 0.902
0.936 0.942
0.915 0.923
0.912 0.902
0.930 0.925
0.864 0.872
0.907 0.903
0.891 0.894
0.880 0.881
0.881 0.885
0.813 0.816
0.774 0.784
0.790 0.779
0.758 0.769
0.573 0.573
0.663 0.656
0.867 0.863
0.902 0.905
0.855 0.854
0.862 0.858
0.912 0.901
0.873 0.881
0.918 0.917
0.893 0.895
0.904 0.901
0.859 0.854
0.828 0.839
0.814 0.812
0.763 0.764
0.690 0.694
0.619 0.619
0.492 0.493
0.499 0.496
0.845 0.853
0.880 0.869
0.874 0.885
0.919 0.904
0.863 0.867
0.881 0.890
0.879 0.879
0.839 0.835
0.873 0.884
0.837 0.825
0.880 0.888
0.853 0.857
0.873 0.873
0.848 0.847
0.806 0.819
0.696 0.688
0.621 0.655
0.479 0.459
0.487 0.480
0.839 0.859
0.879 0.877
0.908 0.904
0.937 0.939
0.881 0.885
0.915 0.916
0.926 0.920
0.888 0.886
0.905 0.906
0.862 0.861
0.868 0.870
0.794 0.795
0.783 0.779
