-nan -nan
0.481 0.481
0.495 0.488
0.507 0.478
0.555 0.579
0.639 0.610
0.700 0.726
0.739 0.739
0.882 0.881
0.905 0.907
0.906 0.909
0.928 0.927
0.894 0.891
0.890 0.893
0.281 0.279
0.492 0.487
0.513 0.518
0.626 0.626
0.310 0.306
0.518 0.511
0.517 0.494
0.524 0.523
0.547 0.558
0.367 0.373
0.597 0.591
0.617 0.617
0.661 0.668
0.182 0.180
0.517 0.518
0.665 0.666
0.682 0.681
0.669 0.668
0.701 0.702
0.286 0.283
0.555 0.554
0.571 0.571
0.388 0.388
0.216 0.209
0.449 0.456
0.521 0.520
0.533 0.530
0.592 0.590
0.646 0.645
0.642 0.647
0.275 0.277
0.204 0.192
0.575 0.563
0.196 0.193
0.371 0.355
0.486 0.496
0.560 0.569
0.239 0.229
0.511 0.523
0.642 0.635
0.763 0.768
0.208 0.207
0.456 0.449
0.156 0.156
0.325 0.318
0.265 0.258
0.179 0.182
0.027 0.027
0.153 0.149
0.244 0.240
0.405 0.405
0.444 0.445
0.486 0.486
0.493 0.492
0.516 0.517
0.214 0.218
0.227 0.217
0.122 0.119
0.170 0.170
0.262 0.261
0.366 0.376
0.438 0.419
0.566 0.562
0.563 0.572
0.651 0.649
0.425 0.410
0.463 0.479
0.514 0.512
0.466 0.466
0.291 0.281
0.515 0.528
0.557 0.557
0.621 0.621
0.658 0.658
0.313 0.313
0.552 0.533
0.642 0.645
0.659 0.670
0.559 0.559
0.293 0.291
0.599 0.599
0.686 0.686
0.464 0.465
0.301 0.302
0.222 0.212
