-nan -nan
0.985 0.965
0.905 0.806
0.835 0.913
0.934 0.920
0.949 0.946
0.972 0.971
0.975 0.976
0.972 0.972
0.973 0.973
0.963 0.962
0.953 0.956
0.957 0.956
0.969 0.969
0.973 0.974
0.972 0.978
0.982 0.980
0.975 0.977
0.961 0.960
0.962 0.962
0.962 0.961
0.964 0.964
0.970 0.968
0.978 0.977
0.982 0.982
0.977 0.978
0.977 0.975
0.966 0.969
0.960 0.963
0.964 0.964
0.979 0.980
0.965 0.964
0.977 0.976
0.985 0.985
0.988 0.990
0.977 0.978
0.966 0.965
0.969 0.971
0.893 0.918
0.908 0.906
0.925 0.924
0.944 0.940
0.972 0.971
0.978 0.978
0.961 0.965
0.962 0.964
0.966 0.965
0.976 0.976
0.951 0.951
0.967 0.966
0.977 0.978
0.984 0.984
0.977 0.979
0.977 0.978
0.963 0.965
0.959 0.960
0.955 0.959
0.943 0.957
0.956 0.955
0.968 0.968
0.978 0.978
0.983 0.983
0.978 0.979
0.959 0.960
0.959 0.959
0.940 0.946
0.916 0.915
0.931 0.929
0.947 0.944
0.964 0.963
0.975 0.976
0.979 0.979
0.956 0.961
0.951 0.953
0.971 0.970
0.942 0.942
0.955 0.955
0.968 0.967
0.977 0.977
0.983 0.979
0.973 0.977
0.963 0.964
0.962 0.962
0.922 0.933
0.919 0.918
0.935 0.935
0.950 0.949
0.965 0.964
0.981 0.982
0.969 0.971
0.961 0.962
0.961 0.961
0.961 0.962
0.940 0.939
0.952 0.952
0.963 0.962
0.971 0.972
0.977 0.977
0.970 0.971
