-nan -nan
0.917 0.898
0.196 0.136
0.490 0.607
0.764 0.762
0.585 0.585
0.526 0.517
0.496 0.467
0.513 0.526
0.534 0.500
0.445 0.473
0.465 0.468
0.493 0.499
0.378 0.386
0.499 0.539
0.574 0.573
0.594 0.617
0.648 0.665
0.630 0.634
0.545 0.459
0.578 0.646
0.696 0.711
0.698 0.697
0.770 0.769
0.745 0.766
0.702 0.712
0.725 0.754
0.717 0.650
0.656 0.706
0.710 0.712
0.809 0.822
0.798 0.820
0.747 0.739
0.462 0.458
0.628 0.629
0.763 0.788
0.736 0.774
0.704 0.725
0.656 0.642
0.704 0.676
0.685 0.748
0.701 0.678
0.573 0.597
0.719 0.734
0.722 0.740
0.735 0.738
0.700 0.696
0.681 0.710
0.703 0.713
0.699 0.697
0.720 0.736
0.756 0.754
0.781 0.775
0.795 0.794
0.784 0.812
0.656 0.658
0.694 0.760
0.602 0.580
0.526 0.571
0.635 0.651
0.628 0.613
0.620 0.631
0.613 0.657
0.625 0.641
0.594 0.593
0.627 0.622
0.631 0.654
0.741 0.732
0.675 0.698
0.604 0.579
0.608 0.626
0.664 0.664
0.743 0.739
0.736 0.744
0.660 0.672
0.650 0.639
0.676 0.680
0.738 0.740
0.713 0.726
0.642 0.647
0.655 0.642
0.648 0.641
0.604 0.614
0.636 0.630
0.643 0.672
0.624 0.663
0.665 0.652
0.717 0.738
0.680 0.701
0.711 0.711
0.690 0.709
0.719 0.687
0.592 0.602
0.581 0.608
0.582 0.570
0.641 0.649
0.630 0.651
0.606 0.608
0.595 0.578
