-nan -nan
0.976 0.942
0.938 0.923
0.952 0.963
0.978 0.975
0.947 0.950
0.941 0.938
0.957 0.957
0.969 0.969
0.961 0.965
0.924 0.930
0.955 0.961
0.968 0.968
0.973 0.975
0.940 0.942
0.939 0.936
0.963 0.963
0.973 0.973
0.947 0.950
0.916 0.918
0.964 0.965
0.963 0.961
0.967 0.967
0.945 0.946
0.937 0.934
0.914 0.914
0.951 0.944
0.951 0.951
0.927 0.929
0.929 0.931
0.923 0.919
0.952 0.950
0.956 0.956
0.917 0.915
0.945 0.949
0.949 0.945
0.938 0.935
0.950 0.950
0.933 0.932
0.942 0.945
0.950 0.949
0.938 0.938
0.944 0.944
0.935 0.944
0.932 0.944
0.951 0.952
0.942 0.943
0.945 0.947
0.950 0.949
0.930 0.929
0.948 0.951
0.939 0.940
0.932 0.934
0.955 0.954
0.940 0.939
0.947 0.948
0.934 0.936
0.935 0.936
0.955 0.954
0.939 0.936
0.946 0.947
0.932 0.932
0.925 0.925
0.952 0.952
0.942 0.941
0.938 0.941
0.941 0.945
0.937 0.934
0.949 0.953
0.946 0.947
0.942 0.944
0.948 0.947
0.938 0.946
0.930 0.943
0.953 0.954
0.940 0.939
0.943 0.946
0.946 0.945
0.925 0.925
0.951 0.952
0.936 0.935
0.939 0.940
0.950 0.949
0.937 0.941
0.951 0.952
0.935 0.936
0.927 0.930
0.958 0.956
0.947 0.947
0.941 0.945
0.942 0.942
0.934 0.935
0.951 0.951
0.942 0.939
0.944 0.946
0.936 0.937
0.930 0.928
0.950 0.952
0.946 0.945
