-nan -nan
0.688 0.721
0.307 0.291
0.343 0.346
0.336 0.352
0.342 0.354
0.360 0.344
0.443 0.421
0.594 0.611
0.586 0.576
0.595 0.606
0.615 0.590
0.611 0.632
0.699 0.686
0.836 0.825
0.872 0.870
0.895 0.912
0.906 0.881
0.897 0.908
0.924 0.916
0.935 0.939
0.939 0.941
0.932 0.929
0.911 0.916
0.892 0.896
0.870 0.857
0.837 0.847
0.829 0.831
0.831 0.831
0.838 0.846
0.929 0.948
0.949 0.946
0.960 0.961
0.975 0.974
0.974 0.974
0.954 0.953
0.919 0.928
0.901 0.898
0.863 0.873
0.984 0.980
0.946 0.900
0.954 0.974
0.961 0.961
0.968 0.978
0.930 0.927
0.875 0.836
0.898 0.894
0.910 0.907
0.871 0.914
0.853 0.853
0.860 0.858
0.881 0.881
0.861 0.843
0.836 0.849
0.873 0.874
0.877 0.883
0.884 0.878
0.865 0.865
0.889 0.860
0.904 0.926
0.857 0.861
0.872 0.872
0.892 0.900
0.847 0.823
0.908 0.929
0.892 0.897
0.878 0.874
0.811 0.803
0.868 0.866
0.933 0.928
0.863 0.871
0.918 0.897
0.897 0.913
0.895 0.887
0.932 0.934
0.888 0.889
0.908 0.875
0.872 0.884
0.854 0.852
0.952 0.950
0.926 0.932
0.937 0.934
0.871 0.874
0.920 0.863
0.867 0.891
0.905 0.904
0.929 0.927
0.887 0.890
0.888 0.894
0.918 0.873
0.889 0.908
0.859 0.856
0.849 0.841
0.852 0.851
0.856 0.855
0.879 0.883
0.854 0.850
0.888 0.891
0.906 0.906
