-nan -nan
0.799 0.728
0.346 0.373
0.659 0.732
0.565 0.579
0.234 0.243
0.228 0.222
0.497 0.499
0.540 0.553
0.606 0.595
0.638 0.632
0.653 0.657
0.608 0.617
0.534 0.533
0.503 0.511
0.310 0.306
0.543 0.546
0.628 0.623
0.677 0.678
0.693 0.690
0.560 0.584
0.392 0.389
0.350 0.357
0.218 0.214
0.198 0.201
0.230 0.228
0.295 0.294
0.411 0.408
0.450 0.438
0.506 0.520
0.561 0.584
0.629 0.594
0.616 0.609
0.624 0.626
0.678 0.684
0.647 0.656
0.615 0.616
0.504 0.511
0.342 0.342
0.339 0.336
0.295 0.296
0.476 0.491
0.526 0.523
0.422 0.418
0.641 0.643
0.362 0.368
0.668 0.667
0.765 0.761
0.813 0.817
0.846 0.840
0.853 0.851
0.863 0.880
0.872 0.857
0.877 0.879
0.863 0.864
0.911 0.920
0.891 0.893
0.905 0.909
0.913 0.912
0.920 0.931
0.935 0.919
0.915 0.919
0.933 0.935
0.939 0.945
0.931 0.936
0.922 0.916
0.881 0.891
0.875 0.869
0.815 0.823
0.802 0.809
0.772 0.779
0.757 0.756
0.720 0.721
0.582 0.579
0.484 0.496
0.294 0.302
0.461 0.448
0.635 0.634
0.685 0.681
0.723 0.726
0.760 0.754
0.782 0.781
0.797 0.812
0.822 0.812
0.821 0.817
0.838 0.842
0.849 0.841
0.851 0.857
0.875 0.870
0.864 0.870
0.870 0.863
0.860 0.859
0.846 0.848
0.782 0.791
0.711 0.722
0.613 0.609
0.468 0.468
0.173 0.186
0.530 0.511
