-nan -nan
0.892 0.892
0.915 0.926
0.896 0.872
0.888 0.886
0.894 0.890
0.886 0.910
0.908 0.908
0.923 0.904
0.893 0.910
0.904 0.906
0.921 0.918
0.930 0.911
0.924 0.945
0.933 0.933
0.948 0.948
0.954 0.937
0.924 0.934
0.948 0.941
0.942 0.957
0.935 0.934
0.940 0.941
0.949 0.942
0.947 0.937
0.932 0.948
0.898 0.885
0.892 0.894
0.895 0.892
0.884 0.888
0.875 0.871
0.858 0.865
0.871 0.872
0.828 0.822
0.831 0.839
0.784 0.785
0.891 0.888
0.745 0.746
0.682 0.682
0.631 0.620
0.618 0.630
0.588 0.581
0.557 0.564
0.493 0.494
0.323 0.326
0.322 0.323
0.341 0.340
0.361 0.361
0.379 0.379
0.398 0.395
0.417 0.418
0.434 0.433
0.456 0.458
0.469 0.470
0.730 0.721
0.486 0.490
0.499 0.498
0.514 0.512
0.519 0.518
0.525 0.522
0.543 0.547
0.575 0.575
0.573 0.574
0.573 0.569
0.596 0.600
0.867 0.858
0.581 0.586
0.464 0.469
0.319 0.321
0.331 0.329
0.353 0.353
0.371 0.371
0.387 0.386
0.405 0.407
0.439 0.437
0.445 0.442
0.458 0.458
0.481 0.482
0.767 0.771
0.496 0.496
0.507 0.507
0.518 0.514
0.525 0.529
0.544 0.543
0.571 0.569
0.558 0.559
0.591 0.589
0.578 0.579
0.608 0.605
0.909 0.946
0.927 0.956
0.934 0.925
0.927 0.937
0.934 0.931
0.930 0.937
0.941 0.937
0.950 0.948
0.946 0.949
0.943 0.948
0.949 0.954
