-nan -nan
0.683 0.586
0.566 0.751
0.475 0.496
0.438 0.411
0.463 0.475
0.597 0.594
0.722 0.722
0.529 0.522
0.620 0.618
0.678 0.680
0.661 0.649
0.601 0.604
0.748 0.751
0.836 0.836
0.817 0.805
0.570 0.573
0.638 0.640
0.543 0.535
0.608 0.609
0.561 0.557
0.711 0.729
0.715 0.721
0.527 0.530
0.525 0.524
0.561 0.557
0.601 0.621
0.645 0.652
0.626 0.629
0.602 0.601
0.610 0.616
0.632 0.621
0.640 0.633
0.685 0.684
0.629 0.626
0.613 0.619
0.633 0.639
0.593 0.606
0.618 0.624
0.638 0.645
0.651 0.658
0.685 0.676
0.691 0.683
0.674 0.674
0.635 0.632
0.645 0.647
0.580 0.585
0.599 0.605
0.615 0.621
0.611 0.614
0.637 0.635
0.686 0.688
0.686 0.682
0.644 0.660
0.591 0.593
0.617 0.616
0.641 0.647
0.580 0.592
0.706 0.704
0.501 0.497
0.641 0.651
0.487 0.485
0.595 0.606
0.491 0.485
0.510 0.529
0.525 0.513
0.665 0.657
0.729 0.723
0.730 0.735
0.553 0.556
0.534 0.541
0.498 0.498
0.674 0.675
0.725 0.728
0.520 0.524
0.561 0.568
0.547 0.543
0.696 0.691
0.562 0.564
0.579 0.594
0.638 0.650
0.643 0.645
0.589 0.591
0.513 0.513
0.650 0.632
0.699 0.705
0.472 0.478
0.605 0.614
0.547 0.545
0.677 0.673
0.517 0.523
0.475 0.466
0.568 0.568
0.692 0.695
0.732 0.740
0.677 0.675
0.544 0.551
0.605 0.607
0.478 0.476
