-nan -nan
0.890 0.915
0.856 0.833
0.923 0.919
0.936 0.934
0.937 0.945
0.926 0.930
0.944 0.955
0.965 0.942
0.955 0.965
0.841 0.880
0.892 0.851
0.867 0.889
0.901 0.887
0.913 0.931
0.895 0.889
0.826 0.848
0.808 0.752
0.779 0.800
0.832 0.816
0.854 0.879
0.830 0.833
0.875 0.866
0.863 0.851
0.894 0.901
0.897 0.887
0.916 0.908
0.904 0.930
0.922 0.909
0.911 0.912
0.909 0.911
0.908 0.919
0.934 0.920
0.936 0.937
0.931 0.928
0.940 0.946
0.884 0.883
0.878 0.875
0.885 0.897
0.890 0.882
0.909 0.914
0.935 0.928
0.915 0.933
0.891 0.911
0.886 0.896
0.905 0.905
0.915 0.898
0.920 0.920
0.883 0.898
0.906 0.898
0.912 0.917
0.917 0.920
0.932 0.933
0.936 0.929
0.936 0.939
0.870 0.881
0.887 0.884
0.887 0.902
0.907 0.901
0.919 0.916
0.929 0.927
0.919 0.922
0.840 0.858
0.859 0.861
0.874 0.868
0.899 0.894
0.905 0.900
0.897 0.912
0.912 0.900
0.808 0.836
0.835 0.833
0.859 0.851
0.862 0.869
0.887 0.889
0.892 0.881
0.879 0.885
0.851 0.846
0.880 0.885
0.888 0.889
0.904 0.907
0.906 0.899
0.922 0.922
0.884 0.888
0.867 0.879
0.891 0.878
0.907 0.912
0.908 0.916
0.917 0.908
0.931 0.923
0.838 0.853
0.829 0.816
0.840 0.849
0.867 0.860
0.871 0.878
0.891 0.888
0.875 0.874
0.837 0.833
0.837 0.840
0.879 0.884
