-nan -nan
0.941 0.778
0.824 0.888
0.957 0.955
0.967 0.968
0.956 0.958
0.968 0.969
0.966 0.967
0.965 0.968
0.969 0.970
0.966 0.967
0.971 0.971
0.969 0.969
0.973 0.972
0.963 0.964
0.973 0.971
0.966 0.967
0.972 0.970
0.967 0.966
0.968 0.968
0.970 0.965
0.958 0.960
0.964 0.963
0.959 0.957
0.963 0.962
0.959 0.956
0.963 0.959
0.954 0.951
0.959 0.959
0.942 0.941
0.957 0.960
0.940 0.944
0.956 0.956
0.946 0.949
0.956 0.958
0.957 0.959
0.955 0.957
0.960 0.962
0.966 0.966
0.966 0.968
0.961 0.961
0.967 0.966
0.962 0.961
0.959 0.958
0.955 0.952
0.955 0.952
0.954 0.954
0.949 0.949
0.946 0.947
0.945 0.947
0.952 0.957
0.949 0.949
0.952 0.954
0.946 0.947
0.961 0.963
0.954 0.956
0.965 0.965
0.959 0.960
0.962 0.962
0.960 0.955
0.966 0.967
0.958 0.955
0.955 0.957
0.957 0.956
0.946 0.945
0.954 0.954
0.949 0.954
0.949 0.954
0.949 0.947
0.953 0.957
0.953 0.956
0.953 0.954
0.954 0.957
0.965 0.966
0.956 0.957
0.970 0.970
0.956 0.956
0.966 0.966
0.958 0.957
0.958 0.957
0.953 0.953
0.954 0.955
0.952 0.952
0.950 0.950
0.947 0.950
0.952 0.952
0.951 0.953
0.952 0.954
0.957 0.958
0.957 0.953
0.960 0.965
0.958 0.958
0.967 0.967
0.961 0.960
0.966 0.966
0.961 0.959
0.963 0.960
0.953 0.955
0.950 0.952
