-nan -nan
0.535 0.528
0.543 0.549
0.675 0.671
0.688 0.687
0.706 0.705
0.856 0.857
0.837 0.836
0.880 0.879
0.957 0.957
0.932 0.932
1.000 1.000
0.988 0.988
0.989 0.990
0.999 0.999
0.949 0.948
1.000 1.000
0.902 0.902
0.969 0.968
0.984 0.983
0.992 0.991
0.999 0.999
0.997 0.997
0.980 0.980
0.974 0.975
0.882 0.883
0.987 0.985
0.968 0.969
1.000 1.000
0.999 0.999
0.985 0.985
0.995 0.995
0.894 0.893
0.916 0.917
0.984 0.983
0.958 0.959
0.999 0.999
0.998 0.998
0.971 0.971
0.998 0.999
0.882 0.881
0.950 0.948
0.975 0.975
0.986 0.986
1.000 1.000
1.000 1.000
0.986 0.985
0.972 0.973
0.869 0.872
0.975 0.974
0.965 0.965
0.996 0.996
0.999 0.999
0.994 0.995
0.993 0.993
0.923 0.927
0.899 0.897
0.981 0.981
0.955 0.954
0.999 0.999
0.996 0.996
0.973 0.975
0.999 0.999
0.971 0.973
0.912 0.914
0.877 0.873
0.848 0.851
0.871 0.868
0.964 0.965
0.936 0.937
1.000 1.000
0.989 0.989
0.982 0.983
0.998 0.998
0.943 0.942
1.000 1.000
0.909 0.906
0.972 0.969
0.984 0.984
1.000 1.000
0.920 0.920
0.986 0.985
1.000 1.000
0.981 0.983
0.951 0.949
0.965 0.964
0.935 0.935
0.994 0.993
0.999 0.999
0.963 0.967
1.000 1.000
0.890 0.887
0.950 0.951
0.979 0.978
0.982 0.981
1.000 0.999
1.000 1.000
0.982 0.982
0.977 0.980
