-nan -nan
0.962 0.996
0.642 0.603
0.616 0.694
0.712 0.711
0.747 0.747
0.774 0.774
0.797 0.797
0.817 0.816
0.833 0.832
0.846 0.847
0.859 0.858
0.869 0.869
0.842 0.843
0.740 0.740
0.759 0.759
0.776 0.776
0.791 0.790
0.804 0.803
0.699 0.700
0.700 0.700
0.720 0.720
0.737 0.737
0.753 0.743
0.649 0.660
0.670 0.670
0.689 0.688
0.706 0.706
0.639 0.640
0.638 0.638
0.657 0.657
0.663 0.663
0.604 0.603
0.623 0.623
0.637 0.637
0.584 0.584
0.603 0.603
0.592 0.592
0.576 0.576
0.579 0.579
0.561 0.561
0.563 0.563
0.551 0.551
0.541 0.542
0.536 0.536
0.529 0.530
0.522 0.522
0.514 0.514
0.509 0.508
0.503 0.504
0.500 0.500
0.500 0.500
0.531 0.531
0.623 0.622
0.689 0.688
0.735 0.734
0.771 0.771
0.800 0.799
0.823 0.823
0.842 0.842
0.858 0.858
0.871 0.871
0.883 0.883
0.893 0.893
0.901 0.901
0.848 0.850
0.770 0.770
0.789 0.789
0.804 0.804
0.818 0.818
0.830 0.830
0.763 0.765
0.716 0.715
0.734 0.734
0.750 0.750
0.766 0.766
0.707 0.708
0.674 0.674
0.694 0.693
0.712 0.712
0.722 0.723
0.635 0.635
0.655 0.655
0.674 0.673
0.677 0.678
0.613 0.613
0.633 0.633
0.651 0.651
0.602 0.602
0.605 0.605
0.623 0.623
0.577 0.578
0.592 0.592
0.575 0.576
0.572 0.572
0.561 0.561
0.560 0.560
0.540 0.541
0.543 0.543
