-nan -nan
0.942 0.955
0.866 0.883
0.890 0.897
0.957 0.966
0.965 0.952
0.989 0.994
0.993 0.993
0.980 0.990
0.980 0.972
0.967 0.956
0.941 0.949
0.919 0.898
0.872 0.886
0.835 0.804
0.770 0.791
0.734 0.806
0.935 0.912
0.742 0.895
0.677 0.629
0.680 0.753
0.502 0.476
0.692 0.858
0.409 0.373
0.689 0.872
0.311 0.284
0.853 0.931
0.252 0.235
0.923 0.964
0.214 0.204
0.985 1.000
0.194 0.184
0.993 0.995
0.176 0.168
1.000 0.977
0.157 0.157
0.752 0.792
0.572 0.935
0.934 0.937
0.940 0.940
0.969 0.969
0.994 0.444
0.982 0.985
0.992 0.992
0.993 0.989
0.996 0.998
0.997 0.995
0.993 0.989
0.977 0.986
0.960 0.971
0.961 0.951
0.899 0.894
0.842 0.853
0.852 0.893
0.776 0.743
0.845 0.815
0.650 0.682
0.657 0.731
0.956 0.931
0.303 0.457
0.723 0.662
0.915 0.907
0.940 0.941
0.975 0.933
0.968 0.968
0.935 0.940
0.973 0.974
0.943 0.967
0.984 0.984
0.963 0.972
0.994 0.993
0.991 0.974
0.998 0.998
0.987 0.985
0.982 0.987
0.973 0.968
0.949 0.961
0.954 0.936
0.874 0.859
0.803 0.847
0.797 0.837
0.699 0.635
0.754 0.729
0.937 0.936
0.114 0.112
0.946 0.926
0.061 0.060
0.879 0.851
0.060 0.060
0.791 0.763
0.060 0.059
0.678 0.653
0.059 0.059
0.598 0.556
0.059 0.067
0.507 0.463
0.060 0.078
0.451 0.405
0.066 0.088
