-nan -nan
0.505 0.507
0.417 0.384
0.414 0.439
0.475 0.473
0.501 0.498
0.500 0.503
0.513 0.514
0.520 0.523
0.541 0.540
0.559 0.562
0.603 0.602
0.650 0.629
0.687 0.687
0.751 0.755
0.847 0.836
0.904 0.905
0.947 0.950
0.963 0.934
0.957 0.936
0.944 0.967
0.928 0.922
0.922 0.938
0.896 0.890
0.919 0.927
0.924 0.919
0.917 0.927
0.925 0.912
0.939 0.947
0.913 0.903
0.932 0.940
0.922 0.929
0.944 0.928
0.893 0.887
0.877 0.865
0.894 0.885
0.889 0.900
0.938 0.919
0.921 0.936
0.879 0.835
0.903 0.912
0.910 0.893
0.894 0.904
0.887 0.886
0.878 0.886
0.894 0.887
0.894 0.901
0.914 0.912
0.901 0.903
0.907 0.910
0.913 0.904
0.912 0.907
0.912 0.914
0.840 0.829
0.873 0.872
0.919 0.896
0.910 0.913
0.918 0.947
0.945 0.936
0.929 0.937
0.913 0.824
0.951 0.956
0.946 0.949
0.935 0.940
0.954 0.935
0.871 0.882
0.918 0.914
0.847 0.860
0.870 0.861
0.956 0.931
0.929 0.939
0.967 0.975
0.872 0.906
0.740 0.783
0.822 0.808
0.870 0.886
0.931 0.950
0.952 0.948
0.936 0.924
0.925 0.936
0.933 0.921
0.923 0.934
0.934 0.924
0.927 0.948
0.814 0.875
0.970 0.968
0.981 0.981
0.979 0.984
0.987 0.987
0.997 0.988
0.989 0.980
0.980 0.991
0.909 0.852
0.849 0.913
0.852 0.850
0.912 0.891
0.938 0.939
0.936 0.945
0.958 0.960
