-nan -nan
0.504 0.507
0.496 0.496
0.500 0.501
0.505 0.504
0.501 0.502
0.506 0.504
0.511 0.512
0.517 0.517
0.527 0.526
0.546 0.539
0.573 0.573
0.605 0.602
0.601 0.615
0.632 0.621
0.649 0.649
0.676 0.639
0.629 0.669
0.658 0.666
0.656 0.651
0.665 0.657
0.651 0.663
0.641 0.646
0.638 0.636
0.641 0.639
0.651 0.648
0.655 0.655
0.660 0.662
0.669 0.665
0.622 0.631
0.618 0.616
0.631 0.629
0.648 0.649
0.639 0.641
0.619 0.625
0.627 0.626
0.635 0.636
0.638 0.640
0.642 0.637
0.641 0.638
0.635 0.641
0.644 0.643
0.646 0.645
0.653 0.654
0.667 0.666
0.648 0.651
0.644 0.649
0.660 0.661
0.662 0.663
0.643 0.643
0.641 0.639
0.625 0.627
0.621 0.622
0.628 0.636
0.627 0.626
0.630 0.631
0.633 0.630
0.625 0.617
0.618 0.630
0.639 0.639
0.629 0.624
0.663 0.653
0.665 0.664
0.647 0.633
0.605 0.629
0.647 0.641
0.659 0.655
0.642 0.608
0.590 0.643
0.601 0.599
0.613 0.608
0.601 0.593
0.605 0.645
0.652 0.652
0.652 0.654
0.651 0.643
0.664 0.669
0.676 0.669
0.668 0.677
0.681 0.680
0.700 0.693
0.690 0.691
0.696 0.698
0.712 0.677
0.636 0.676
0.664 0.658
0.678 0.681
0.667 0.672
0.683 0.682
0.663 0.680
0.669 0.658
0.656 0.660
0.644 0.649
0.616 0.621
0.620 0.613
0.624 0.620
0.625 0.620
0.625 0.631
0.629 0.672
