-nan -nan
1.000 1.000
1.000 0.995
0.995 1.000
0.998 0.998
0.998 0.999
0.998 0.999
0.999 0.997
0.999 0.998
0.991 0.974
0.924 0.943
0.938 0.942
0.951 0.949
0.958 0.952
0.958 0.952
0.956 0.957
0.951 0.955
0.949 0.949
0.949 0.945
0.941 0.942
0.933 0.940
0.926 0.935
0.920 0.925
0.941 0.924
0.925 0.925
0.946 0.978
0.953 0.978
0.968 0.982
0.949 0.964
0.947 0.956
0.956 0.959
0.962 0.959
0.963 0.960
0.962 0.957
0.961 0.957
0.959 0.952
0.959 0.952
0.958 0.959
0.958 0.966
0.964 0.974
0.973 0.979
0.989 0.991
0.983 0.993
0.931 0.990
0.974 0.964
0.988 0.971
0.977 0.979
0.997 0.972
0.974 0.983
0.960 0.978
0.976 0.976
0.980 0.977
0.983 0.981
0.981 0.983
0.983 0.983
0.983 0.982
0.980 0.981
0.977 0.974
0.974 0.974
0.965 0.972
0.965 0.961
0.981 0.984
0.975 0.963
0.971 0.966
0.960 0.955
0.952 0.945
0.933 0.944
0.936 0.935
0.925 0.937
0.936 0.926
0.935 0.928
0.939 0.929
0.937 0.935
0.938 0.937
0.941 0.938
0.951 0.944
0.952 0.959
0.954 0.986
0.960 0.973
0.967 0.972
0.980 0.968
0.987 0.992
0.975 0.977
0.973 0.975
0.976 0.973
0.969 0.967
0.957 0.953
0.959 0.964
0.959 0.954
0.958 0.960
0.959 0.961
0.963 0.965
0.964 0.965
0.967 0.965
0.963 0.960
0.947 0.946
0.966 0.980
0.971 0.979
0.978 0.980
