-nan -nan
0.407 0.371
0.436 0.475
0.641 0.635
0.746 0.753
0.770 0.758
0.808 0.807
0.762 0.767
0.766 0.776
0.752 0.751
0.630 0.630
0.689 0.669
0.625 0.642
0.522 0.507
0.784 0.779
0.799 0.806
0.836 0.828
0.850 0.852
0.765 0.769
0.783 0.774
0.794 0.794
0.794 0.799
0.820 0.817
0.836 0.837
0.840 0.840
0.835 0.837
0.817 0.816
0.840 0.838
0.815 0.809
0.832 0.831
0.813 0.820
0.840 0.836
0.838 0.836
0.835 0.834
0.825 0.826
0.801 0.801
0.823 0.817
0.826 0.826
0.812 0.810
0.797 0.803
0.819 0.814
0.773 0.773
0.760 0.764
0.768 0.757
0.803 0.802
0.783 0.779
0.812 0.810
0.755 0.757
0.765 0.765
0.776 0.774
0.817 0.813
0.818 0.817
0.826 0.826
0.816 0.814
0.793 0.790
0.760 0.760
0.783 0.785
0.778 0.770
0.746 0.748
0.768 0.766
0.799 0.795
0.794 0.792
0.782 0.784
0.842 0.843
0.884 0.885
0.881 0.882
0.853 0.853
0.846 0.849
0.734 0.721
0.713 0.715
0.721 0.717
0.776 0.775
0.797 0.799
0.795 0.797
0.853 0.846
0.851 0.850
0.792 0.792
0.780 0.779
0.802 0.801
0.801 0.800
0.770 0.772
0.803 0.797
0.835 0.836
0.847 0.847
0.853 0.850
0.828 0.827
0.811 0.806
0.767 0.776
0.772 0.767
0.740 0.734
0.688 0.697
0.747 0.735
0.788 0.795
0.841 0.836
0.846 0.842
0.842 0.844
0.817 0.817
0.795 0.794
0.802 0.805
