-nan -nan
0.763 0.760
0.787 0.790
0.846 0.848
0.876 0.879
0.882 0.884
0.886 0.888
0.887 0.888
0.887 0.886
0.890 0.888
0.892 0.889
0.894 0.890
0.896 0.892
0.895 0.891
0.892 0.892
0.892 0.891
0.892 0.891
0.892 0.891
0.892 0.892
0.891 0.894
0.891 0.893
0.891 0.894
0.891 0.895
0.892 0.896
0.893 0.896
0.894 0.895
0.893 0.892
0.895 0.892
0.895 0.892
0.896 0.892
0.896 0.891
0.893 0.892
0.892 0.891
0.892 0.891
0.892 0.891
0.892 0.892
0.891 0.894
0.892 0.893
0.891 0.893
0.891 0.895
0.891 0.895
0.892 0.896
0.893 0.896
0.893 0.893
0.896 0.893
0.898 0.894
0.899 0.894
0.898 0.894
0.898 0.894
0.895 0.894
0.894 0.894
0.894 0.894
0.894 0.894
0.894 0.895
0.894 0.897
0.894 0.896
0.894 0.897
0.894 0.898
0.894 0.899
0.896 0.899
0.896 0.897
0.896 0.895
0.898 0.895
0.898 0.894
0.899 0.894
0.899 0.894
0.896 0.894
0.895 0.894
0.894 0.894
0.894 0.894
0.894 0.894
0.894 0.896
0.895 0.896
0.894 0.897
0.894 0.898
0.894 0.898
0.895 0.899
0.896 0.899
0.896 0.895
0.897 0.895
0.898 0.894
0.899 0.894
0.899 0.894
0.897 0.894
0.895 0.894
0.895 0.894
0.894 0.894
0.894 0.894
0.894 0.895
0.894 0.897
0.894 0.896
0.894 0.897
0.894 0.898
0.894 0.899
0.896 0.898
0.896 0.897
0.896 0.895
0.898 0.894
0.898 0.894
