-nan -nan
0.903 0.889
0.791 0.753
0.717 0.715
0.682 0.683
0.627 0.638
0.610 0.598
0.605 0.603
0.583 0.595
0.593 0.595
0.593 0.596
0.528 0.522
0.520 0.525
0.530 0.525
0.515 0.536
0.510 0.509
0.417 0.424
0.427 0.424
0.437 0.434
0.457 0.448
0.455 0.453
0.469 0.462
0.468 0.493
0.488 0.494
0.520 0.489
0.505 0.512
0.475 0.474
0.450 0.447
0.464 0.477
0.477 0.495
0.483 0.465
0.456 0.470
0.422 0.395
0.411 0.424
0.428 0.438
0.460 0.438
0.449 0.463
0.369 0.365
0.346 0.373
0.402 0.368
0.409 0.445
0.428 0.425
0.397 0.365
0.353 0.370
0.390 0.383
0.383 0.372
0.407 0.407
0.370 0.405
0.305 0.277
0.314 0.319
0.355 0.361
0.394 0.381
0.390 0.389
0.314 0.343
0.338 0.325
0.351 0.344
0.381 0.373
0.368 0.370
0.352 0.350
0.313 0.347
0.355 0.325
0.383 0.380
0.373 0.370
0.326 0.354
0.352 0.325
0.321 0.340
0.380 0.368
0.377 0.374
0.333 0.349
0.336 0.317
0.329 0.361
0.375 0.359
0.360 0.376
0.369 0.345
0.329 0.343
0.340 0.340
0.357 0.351
0.348 0.361
0.408 0.375
0.320 0.321
0.346 0.350
0.337 0.356
0.355 0.341
0.371 0.397
0.346 0.346
0.353 0.320
0.333 0.364
0.369 0.337
0.371 0.373
0.356 0.354
0.330 0.331
0.334 0.370
0.379 0.343
0.375 0.375
0.350 0.364
0.320 0.331
0.343 0.351
0.368 0.348
0.356 0.377
